Was heißt eigentlich „BOKraft“?,Handelsgesetz,Verordnung über den Betrieb von Kraftfahrunternehmen im Personenverkehr.,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,das Betriebsvermögen mehr als 87.500 € oder,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
Was hat der Unternehmer zu beachten. wenn er sein Fahrzeug sowohl als Taxi als auch als Mietwagen einsetzt?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Anfahrt und erste Teilstrecke (Anfangstrecke,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),wenn ein Fahrzeug gering als Mietwagen genutzt wird. kann die Genehmigungsbehörde gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger ausgerüstet wird. Der Fahrer muss den Fahrgast auf das Fehlen des Wegstreckenzählers und die Art der Berechnung des Beförderungsentgelts hinweisen.,Nein. der Mietwagenunternehmer muss sich an keine Tarife halten.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,
Wenn im Rahmen einer Doppelgenehmigung Mietwagenverkehr ausgeführt wird. was ist dann zu beachten?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Das Taxischild und die Ordnungsnummer dürfen nicht gezeigt werden.,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),wenn ein Fahrzeug gering als Mietwagen genutzt wird. kann die Genehmigungsbehörde gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger ausgerüstet wird. Der Fahrer muss den Fahrgast auf das Fehlen des Wegstreckenzählers und die Art der Berechnung des Beförderungsentgelts hinweisen.,Nein. der Mietwagenunternehmer muss sich an keine Tarife halten.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),das Beförderungsentgelt wird nach zu vereinbarenden KmPreis berechnet.,
Wie oft müssen Fahrzeuge. die zur Personenbeförderung dienen. zur Hauptuntersuchung (TÜV)?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Nach Ablauf von 12 Monaten.,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),wenn ein Fahrzeug gering als Mietwagen genutzt wird. kann die Genehmigungsbehörde gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger ausgerüstet wird. Der Fahrer muss den Fahrgast auf das Fehlen des Wegstreckenzählers und die Art der Berechnung des Beförderungsentgelts hinweisen.,Nein. der Mietwagenunternehmer muss sich an keine Tarife halten.,Die Genehmigungsbehörde kann gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger (ohne Wegstreckenzähler) ausgestattet sein muss.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Welche Unterlage wird über Hauptuntersuchungen gefertigt?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Nach Ablauf von 12 Monaten.,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),wenn ein Fahrzeug gering als Mietwagen genutzt wird. kann die Genehmigungsbehörde gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger ausgerüstet wird. Der Fahrer muss den Fahrgast auf das Fehlen des Wegstreckenzählers und die Art der Berechnung des Beförderungsentgelts hinweisen.,Der Untersuchungsbericht.,Die Genehmigungsbehörde kann gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger (ohne Wegstreckenzähler) ausgestattet sein muss.,Kilometerpreis für die geleistete Beförderung (Fortschaltstrecken),
Welche Pflicht hat der Unternehmer. wenn er den Bericht der Hauptuntersuchung vorliegen hat?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Nach Ablauf von 12 Monaten.,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),wenn ein Fahrzeug gering als Mietwagen genutzt wird. kann die Genehmigungsbehörde gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger ausgerüstet wird. Der Fahrer muss den Fahrgast auf das Fehlen des Wegstreckenzählers und die Art der Berechnung des Beförderungsentgelts hinweisen.,Der Untersuchungsbericht.,Die Genehmigungsbehörde kann gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger (ohne Wegstreckenzähler) ausgestattet sein muss.,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
Worauf ist bei jeder Hauptuntersuchung (TÜV) besonders zu achten?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Muss festgestellt werden. dass die Kfz den BOKraft Vorschriften entsprechen.,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),Nach jeder Hauptuntersuchung hat der Unternehmer eine Ausfertigung des Untersuchungsberichtes unverzüglich der Genehmigungsbehörde vorzulegen.,Der Untersuchungsbericht.,Die Genehmigungsbehörde kann gestatten. dass das Fahrzeug nur mit einem Fahrpreisanzeiger (ohne Wegstreckenzähler) ausgestattet sein muss.,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
In welchen Fällen kann von einer Hauptuntersuchung abgesehen werden?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Muss festgestellt werden. dass die Kfz den BOKraft Vorschriften entsprechen.,Ja. in Orten unter 50.000 Einwohnern kann für einen Pkw die Genehmigung zum Taxi- und Mietwagenverkehr beantragt und erteilt werden.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),Nach jeder Hauptuntersuchung hat der Unternehmer eine Ausfertigung des Untersuchungsberichtes unverzüglich der Genehmigungsbehörde vorzulegen.,Der Untersuchungsbericht.,Beim fabrikneues Fahrzeug muss nur festgestellt werden. ob die BOKraft -Vorschriften erfüllt sind.,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
Was versteht man unter der Außer ordentlichen Hauptuntersuchung“? Was muss man vor der ersten Inbetriebnahme eines Fahrzeuges besonders beachten?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Der Unternehmer muss vor dem ersten Einsatz des Pkw im Unternehmen auf seine Kosten:,eine außerordentliche Hauptuntersuchung veranlassen u.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),den Untersuchungsbericht darüber unverzüglich der Genehmigungsbehörde vorlegen,Der Untersuchungsbericht.,Beim fabrikneues Fahrzeug muss nur festgestellt werden. ob die BOKraft -Vorschriften erfüllt sind.,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
Wann ist ein Taxi oder Mietwagen unabhängig vom vorgeschriebenen Zeitabstande. außerordentlichen Hauptuntersuchung zu unterziehen?,Solche Fahrzeuge müssen den Vorschriften entsprechen. welche die BOKraft für Taxi und für Mietwagen vorsieht (der Farbanstrich. das Taxischild. die Ordnungsnummer. der Fahrpreisanzeiger und der Wegstreckenzähler).,Der Unternehmer muss vor dem ersten Einsatz des Pkw im Unternehmen auf seine Kosten:,eine außerordentliche Hauptuntersuchung veranlassen u.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),den Untersuchungsbericht darüber unverzüglich der Genehmigungsbehörde vorlegen,Vor dem ersten Einsatz des Pkw im Unternehmen.,Beim fabrikneues Fahrzeug muss nur festgestellt werden. ob die BOKraft -Vorschriften erfüllt sind.,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
Welche Aufgaben haben die Taxizentralen?,Der Unternehmer muss vor dem ersten Einsatz des Pkw im Unternehmen auf seine Kosten:,eine außerordentliche Hauptuntersuchung veranlassen u.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),Weiterleitung der Fahraufträge an Taxen durch Funk.,den Untersuchungsbericht darüber unverzüglich der Genehmigungsbehörde vorlegen,Einsatz der Fahrzeuge auf dem kürzesten und kostengünstigsten Weg zur Kunden,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,Entgegennahme von Vorbestellungen und termingerechter Ausführung,
Welche Rolle spielt bei dem Vertragsabschluss eine Taxizentrale (Vermittlungszentrale)?,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Auftragsannahme und Weiterleitung durch die Taxizentrale stellt die Erfüllung eines Vermittlungsvertrages dar.,wenn das Fahrzeug als Mietwagen genutzt wird. dürfen die Taximerkmale nicht verwendet werden (Taxi- und Ordnungsnummernschild),Weiterleitung der Fahraufträge an Taxen durch Funk.,den Untersuchungsbericht darüber unverzüglich der Genehmigungsbehörde vorlegen,Einsatz der Fahrzeuge auf dem kürzesten und kostengünstigsten Weg zur Kunden,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,Entgegennahme von Vorbestellungen und termingerechter Ausführung,
Welche Vorteile hat der einzelne Unternehmer. wenn er sich einer Taxizentrale anschließt?,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Auftragsannahme und Weiterleitung durch die Taxizentrale stellt die Erfüllung eines Vermittlungsvertrages dar.,Verbesserung zwischen Besetzt- und Leerkilometern.,gibt dem Fahrpersonal größere Sicherheit.,den Untersuchungsbericht darüber unverzüglich der Genehmigungsbehörde vorlegen,Einsatz der Fahrzeuge auf dem kürzesten und kostengünstigsten Weg zur Kunden,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,Entgegennahme von Vorbestellungen und termingerechter Ausführung,
Welche technische Einrichtung wird heute als Vermittlungssystem für Taxiverkehr eing,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Taxifunk.,Verbesserung zwischen Besetzt- und Leerkilometern.,gibt dem Fahrpersonal größere Sicherheit.,Autotelefon,Einsatz der Fahrzeuge auf dem kürzesten und kostengünstigsten Weg zur Kunden,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,Entgegennahme von Vorbestellungen und termingerechter Ausführung,
Welche Vorteile hat der Funk?,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Taxifunk.,Verbesserung zwischen Besetzt- und Leerkilometern.,gibt dem Fahrpersonal größere Sicherheit.,Autotelefon,schnelle und wirtschaftliche Ausführung von Fahraufträge und,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,dient der Sicherheit. weil über Funk im Notfall schnell Hilfe geholt werden kann.,
Was versteht man unter Funkdisziplin?,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Taxifunk.,Verbesserung zwischen Besetzt- und Leerkilometern.,Ein Verhalten. durch das Störungen des Funkbereiches. aller Teilnehmer so gering wie möglich gehalten werden,Autotelefon,schnelle und wirtschaftliche Ausführung von Fahraufträge und,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,dient der Sicherheit. weil über Funk im Notfall schnell Hilfe geholt werden kann.,
Was ist für den Betrieb eines Funkgerätes erforderlich?,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Taxifunk.,Verbesserung zwischen Besetzt- und Leerkilometern.,Ein Verhalten. durch das Störungen des Funkbereiches. aller Teilnehmer so gering wie möglich gehalten werden,Autotelefon,schnelle und wirtschaftliche Ausführung von Fahraufträge und,Die Genehmigung des Fernmeldeamtes ist notwendig.,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
Bei welcher Stelle muss die Zuteilung einer Funkfrequenz beantragt werden?,Wenn eine Taxifahrt über die Vermittlungszentrale zustande kommt. so wird der Beförderungsvertrag zwischen dem Taxiunternehmer und dem Fahrgast abgeschlossen,Taxifunk.,Verbesserung zwischen Besetzt- und Leerkilometern.,Ein Verhalten. durch das Störungen des Funkbereiches. aller Teilnehmer so gering wie möglich gehalten werden,Bei der zuständigen Außenstelle der Regulierungsbehörde für Telekommunikation und Post (RegTP).,schnelle und wirtschaftliche Ausführung von Fahraufträge und,Die Genehmigung des Fernmeldeamtes ist notwendig.,Den Untersuchungsbericht der zuständigen Genehmigungsbehörde vorzulegen.,
Eine Zuteilung einer BetriebsfunkLizenz geschieht durch eine Behörde. Welche? Kreuzen Sie an.,Straßenverkehrsamt der kreisfreien Stad,Taxifunk.,Ordnungsamt der Gemeinde,(x) Außenstelle der Regulierungsbehörde für,Bei der zuständigen Außenstelle der Regulierungsbehörde für Telekommunikation und Post (RegTP).,Telekommunikation und Post,Landesverkehrskehrministerium. Abt.,Frequenzzuteilung,
Welche Voraussetzungen muss der Unternehmer erfüllen. wenn er eine Genehmigung für ein Funkgerät haben möchte?,Straßenverkehrsamt der kreisfreien Stad,das Gerät muss vom Fernmeldeamt geprüft werden.,Ordnungsamt der Gemeinde,(x) Außenstelle der Regulierungsbehörde für,in Bedürfnis muss nachgewiesen werden,Telekommunikation und Post,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein.,
Welcher Funkversorgungsbereich wird für d. Taxi- und Mietwagenverkehr im Allgemeinen festgelegt?,10 Kilometern.,das Gerät muss vom Fernmeldeamt geprüft werden.,5 Kilometern in Großstädten mit mehr als 500.000 Einwohnern.,(x) Außenstelle der Regulierungsbehörde für,in Bedürfnis muss nachgewiesen werden,Telekommunikation und Post,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein.,
Müssen Taxi- und Mietwagen mit einer Trennwand ausgerüstet sein?,10 Kilometern.,das Gerät muss vom Fernmeldeamt geprüft werden.,5 Kilometern in Großstädten mit mehr als 500.000 Einwohnern.,Nein. aber sie können mit einer Trennwand ausgerüstet sein.,in Bedürfnis muss nachgewiesen werden,Telekommunikation und Post,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein.,
Wer unterliegt bei einer Taxi- oder Mietwagenfahrt der Gurtanlegepflicht?,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein.,das Gerät muss vom Fernmeldeamt geprüft werden.,Nein. aber sie können mit einer Trennwand ausgerüstet sein.,in Bedürfnis muss nachgewiesen werden,Telekommunikation und Post,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,Jeder über 12 Jahre alte Fahrgast.,Taxi- und Mietwagenfahrer bei Leerfahrten.,
Wie steht es mit der Gurtpflicht für den Fahrer?,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein., bei Leerfahrten besteht die Gurtpflicht.,Nein. aber sie können mit einer Trennwand ausgerüstet sein.,bei Besetztfahrten nicht.,Telekommunikation und Post,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,Jeder über 12 Jahre alte Fahrgast.,Taxi- und Mietwagenfahrer bei Leerfahrten.,
Ist ein Taxiunternehmer verpflichtet. den genehmigten Taxibetrieb auch durchz,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein., bei Leerfahrten besteht die Gurtpflicht.,Ja. jeder Unternehmer ist verpflichtet. den Betrieb ordnungsgemäß einzurichten und während der Dauer der Genehmigung nach dem Stand der Technik und den Bedürfnissen des Verkehrsordnungsgemäß aufrechtzuerhalten. Verstöße gegen die Betriebspflicht stellen einen Widerrufsgrund dar,Nein. aber sie können mit einer Trennwand ausgerüstet sein.,bei Besetztfahrten nicht.,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,Jeder über 12 Jahre alte Fahrgast.,Taxi- und Mietwagenfahrer bei Leerfahrten.,
Was kann geschehen. wenn der Taxibetrieb nicht aufgenommen wird?,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein., bei Leerfahrten besteht die Gurtpflicht.,Ja. jeder Unternehmer ist verpflichtet. den Betrieb ordnungsgemäß einzurichten und während der Dauer der Genehmigung nach dem Stand der Technik und den Bedürfnissen des Verkehrsordnungsgemäß aufrechtzuerhalten. Verstöße gegen die Betriebspflicht stellen einen Widerrufsgrund dar,Nein. aber sie können mit einer Trennwand ausgerüstet sein.,bei Besetztfahrten nicht.,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,Die Genehmigungsbehörde kann dem Unternehmer für die Aufnahme des Betriebes eine Frist setzen. Nach erfolglosem Fristablauf erlischt die Genehmigung.,Taxi- und Mietwagenfahrer bei Leerfahrten.,
Wodurch kommt eine rechtliche Beziehung (Vertrag) zwischen dem Taxiunternehmer und dem Fahrgast zustande?,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein., bei Leerfahrten besteht die Gurtpflicht.,Ja. jeder Unternehmer ist verpflichtet. den Betrieb ordnungsgemäß einzurichten und während der Dauer der Genehmigung nach dem Stand der Technik und den Bedürfnissen des Verkehrsordnungsgemäß aufrechtzuerhalten. Verstöße gegen die Betriebspflicht stellen einen Widerrufsgrund dar,Durch Abschluss eines Beförderungsvertrages. Das Angebot geht vom Fahrgast aus (Der Fahrgast bestellt ein Taxi). Durch Annahme des Angebotes durch den Unternehmer oder seiner Erfüllungsgehilfen (Fahrer) ist der Beförderungsvertrag abgeschlossen. Vertragsparteien sind der Fahrgast und der Taxiunternehmer.,bei Besetztfahrten nicht.,gewünschte Nachrichtenaustausch darf nicht mit Hilfe d. vorhandenen öffentlichen Fernmeldenetze möglich sein.,Die Genehmigungsbehörde kann dem Unternehmer für die Aufnahme des Betriebes eine Frist setzen. Nach erfolglosem Fristablauf erlischt die Genehmigung.,Taxi- und Mietwagenfahrer bei Leerfahrten.,
Welche Vertragspflichten haben der Unternehmer und der Fahrgast?,der Antragsteller darf mit seiner Fernmeldegebühr nicht im Rückstand sein.,Welche Vertragspflichten haben der Unternehmer und der Fahrgast?, bei Leerfahrten besteht die Gurtpflicht.,er hat für die Unversehrtheit des Fahrgastes zu sorgen,bei Besetztfahrten nicht.,Die Fahrgäste haben sich so zu verhalten. dass die Sicherheit und Ordnung des Betriebes und die Rücksicht auf andere Personen gebieten,Anweisungen des Betriebspersonals ist zu folgen und,der Beförderungspreis muss entrichtet werden.,
Ist jeder Taxiunternehmer verpflichtet. mit dem Interes senten einen Vertrag abzuschließen und ihn zu befördern?,Er ist verpflichtet. alle Interessenten innerhalb des Pflichtfahrbereiches zu befördern. wenn die Beförderungsbedingungen eingehalten werden,Welche Vertragspflichten haben der Unternehmer und der Fahrgast?,Er hat insoweit „Beförderungspflicht“.,er hat für die Unversehrtheit des Fahrgastes zu sorgen,bei Besetztfahrten nicht.,Die Fahrgäste haben sich so zu verhalten. dass die Sicherheit und Ordnung des Betriebes und die Rücksicht auf andere Personen gebieten,Anweisungen des Betriebspersonals ist zu folgen und,der Beförderungspreis muss entrichtet werden.,
Was geschieht. wenn der Unternehmer seinen Betriebssitz in eine andere Gemeinde verlegt?,x) Den Arbeitgeber,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,Jeder Arbeitsunfall muss innerhalb von 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen (BGF) gemeldet werden.,Die zuständige Berufsgenossenschaft.,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Wie erfolgt die Fahrgastaufnahme an Taxistandplätzen?,x) Den Arbeitgeber,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,Jeder Arbeitsunfall muss innerhalb von 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen (BGF) gemeldet werden.,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
"Darf ein Taxi an einem Taxistand abgestellt werden, auch wenn keine Betriebsbereitschaft besteht?",x) Den Arbeitgeber,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Unter welchen Voraussetzungen dürfen andere Verkehrsteilnehmer auf einem Taxenstand halten?,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Wer bestimmt im Taxenverkehr die Höhe des zu entrichtenden Beförderungsentgelts?,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,x) Arbeitgeber.,Gewerbeaufsichtsamt,
Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,Berufsgenossenschaft,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,
außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Die Landesregierung oder die eingesetzte Genehmigungsbehörde bestimmt durch Rechtsverordnung die Höhe des Beförderungsentgeltes,Die Genehmigung erlischt. Er darf keine Fahrten mehr durchführen. es sei denn. er hat eine neue Genehmigung für die neue Gemeinde,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,"Nein, Taxen dürfen nur dann am Taxenstand stehen, wenn sie betriebsbereit sind.",Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,Darf der einzelne Taxiunternehmer von den festgesetzten Entgelten abweichen?,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,
Was kann die Tarifverordnung im Einzelnen regeln?,Grundpreise. Kilometerpreise. Zeitpreise und Zuschläge.,Am Taxenstand ist das Halten und Parken für andere Verkehrsteilnehmer verboten.,Vorauszahlungen.,außerhalb des Pflichtfahrbereiches können die Entgelten frei vereinbart werden.,die Abrechnung.,Die Regelung erfolgt durch die Taxiordnung (in der Regel = der Reihe nach. aber Fahrgast hat die freie Wahl).,die Zahlungsweise und,Sondervereinbarungen für den Pflichtfahrbereich.,
